"OTU_10452" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__Agathobacter" "s__uncultured_bacterium"
"OTU_10454" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Peptostreptococcales-Tissierellales" "f__Family_XI" "g__Peptoniphilus" "s__uncultured_bacterium"
"OTU_10455" "k__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Bacteroidaceae" "g__Bacteroides" "s__Bacteroides_thetaiotaomicron"
"OTU_10457" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__[Ruminococcus]_torques_group" "s__uncultured_organism"
"OTU_10459" "k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Streptococcaceae" "g__Streptococcus" "s__Streptococcus_salivarius"
"OTU_1046" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "" ""
"OTU_10463" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__Roseburia" "s__uncultured_bacterium"
"OTU_10465" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__Dorea" "s__uncultured_bacterium"
"OTU_10466" "k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Lactobacillaceae" "g__Lactobacillus" "s__Lactobacillus_jensenii"
"OTU_10467" "k__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Bifidobacteriales" "f__Bifidobacteriaceae" "g__Gardnerella" "s__Gardnerella_vaginalis"
"OTU_10472" "k__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Bacteroidaceae" "g__Bacteroides" "s__Bacteroides_fragilis"
"OTU_10474" "k__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Bifidobacteriales" "f__Bifidobacteriaceae" "g__Gardnerella" "s__Gardnerella_vaginalis"
"OTU_1048" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__Blautia" "s__uncultured_bacterium"
"OTU_10485" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__Roseburia" "s__uncultured_organism"
"OTU_10491" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__Blautia" "s__uncultured_bacterium"
"OTU_10494" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__[Ruminococcus]_torques_group" "s__uncultured_organism"
"OTU_10497" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__Fusicatenibacter" "s__uncultured_bacterium"
"OTU_10498" "k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Lactobacillaceae" "g__Lactobacillus" "s__Lactobacillus_acidophilus"
"OTU_10503" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__Agathobacter" "s__uncultured_bacterium"
"OTU_10508" "k__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella_9" "s__uncultured_bacterium"
"OTU_1051" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Peptostreptococcales-Tissierellales" "f__Family_XI" "g__Murdochiella" ""
"OTU_10510" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__[Eubacterium]_hallii_group" "s__uncultured_bacterium"
"OTU_10513" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Peptostreptococcales-Tissierellales" "f__Family_XI" "g__Finegoldia" ""
"OTU_10515" "k__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella_9" "s__uncultured_bacterium"
"OTU_10525" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Peptostreptococcales-Tissierellales" "f__Anaerovoracaceae" "" ""
"OTU_10535" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__Blautia" "s__uncultured_bacterium"
"OTU_10536" "k__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Bacteroidaceae" "g__Bacteroides" "s__Bacteroides_vulgatus"
"OTU_1054" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Oscillospirales" "f__Ruminococcaceae" "g__Ruminococcus" "s__uncultured_bacterium"
"OTU_1055" "k__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Corynebacteriales" "f__Corynebacteriaceae" "g__Corynebacterium" ""
"OTU_10558" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__Tyzzerella" ""
"OTU_10559" "k__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Enterobacterales" "f__Enterobacteriaceae" "g__Klebsiella" "s__Klebsiella_pneumoniae"
"OTU_1057" "k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Lactobacillaceae" "g__Lacticaseibacillus" ""
"OTU_10574" "k__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Bifidobacteriales" "f__Bifidobacteriaceae" "g__Bifidobacterium" "s__Bifidobacterium_longum"
"OTU_10588" "k__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Actinomycetales" "f__Actinomycetaceae" "g__Varibaculum" ""
"OTU_10590" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__Blautia" ""
"OTU_1060" "k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Erysipelotrichales" "f__Erysipelatoclostridiaceae" "g__Erysipelatoclostridium" ""
"OTU_10600" "k__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella_9" ""
"OTU_10602" "k__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Rikenellaceae" "g__Alistipes" ""
"OTU_10603" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Oscillospirales" "f__Ruminococcaceae" "g__Faecalibacterium" ""
"OTU_10605" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Oscillospirales" "f__Ruminococcaceae" "g__Faecalibacterium" ""
"OTU_1061" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__Blautia" ""
"OTU_10610" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__[Ruminococcus]_torques_group" "s__uncultured_organism"
"OTU_10615" "k__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" "s__uncultured_bacterium"
"OTU_10616" "k__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" ""
"OTU_10621" "k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Lactobacillaceae" "g__Lacticaseibacillus" "s__Lactobacillus_rhamnosus"
"OTU_10626" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__Fusicatenibacter" "s__uncultured_bacterium"
"OTU_10634" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Oscillospirales" "f__Ruminococcaceae" "g__Ruminococcus" ""
"OTU_10635" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__Roseburia" "s__uncultured_organism"
"OTU_10646" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Peptostreptococcales-Tissierellales" "f__Family_XI" "g__Anaerococcus" ""
"OTU_10649" "k__Bacteria" "p__Firmicutes" "c__Negativicutes" "o__Veillonellales-Selenomonadales" "f__Selenomonadaceae" "g__Megamonas" ""
"OTU_10650" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__[Eubacterium]_ventriosum_group" "s__uncultured_bacterium"
"OTU_10651" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Peptostreptococcales-Tissierellales" "f__Peptostreptococcaceae" "g__Romboutsia" ""
"OTU_10652" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__Anaerostipes" "s__uncultured_bacterium"
"OTU_10654" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__Roseburia" ""
"OTU_10657" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__Roseburia" "s__uncultured_organism"
"OTU_10661" "k__Bacteria" "p__Firmicutes" "c__Negativicutes" "o__Veillonellales-Selenomonadales" "f__Veillonellaceae" "g__Negativicoccus" ""
"OTU_10667" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__Roseburia" "s__uncultured_organism"
"OTU_10671" "k__Bacteria" "p__Firmicutes" "c__Negativicutes" "o__Veillonellales-Selenomonadales" "f__Veillonellaceae" "g__Megasphaera" ""
"OTU_10676" "k__Bacteria" "p__Actinobacteriota" "c__Actinobacteria" "o__Corynebacteriales" "f__Corynebacteriaceae" "g__Corynebacterium" ""
"OTU_10677" "k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Lactobacillaceae" "g__Lactobacillus" "s__uncultured_bacterium"
"OTU_10683" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__Blautia" "s__uncultured_bacterium"
"OTU_10701" "k__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Pseudomonadales" "f__Pseudomonadaceae" "g__Pseudomonas" ""
"OTU_1071" "k__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" "s__uncultured_bacterium"
"OTU_10716" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__Lachnoclostridium" "s__[Clostridium]_bolteae"
"OTU_10717" "k__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Tannerellaceae" "g__Parabacteroides" ""
"OTU_10723" "k__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Bacteroidaceae" "g__Bacteroides" ""
"OTU_10731" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Oscillospirales" "f__Ruminococcaceae" "g__UBA1819" "s__uncultured_organism"
"OTU_10741" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "" ""
"OTU_10745" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__Agathobacter" ""
"OTU_10747" "k__Bacteria" "p__Bacteroidota" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" "s__uncultured_bacterium"
"OTU_10750" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__Blautia" ""
"OTU_10751" "k__Bacteria" "p__Firmicutes" "c__Negativicutes" "o__Veillonellales-Selenomonadales" "f__Veillonellaceae" "g__Dialister" ""
"OTU_10755" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__Lachnospiraceae_NK4A136_group" ""
"OTU_10758" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Lachnospirales" "f__Lachnospiraceae" "g__Blautia" ""
"OTU_1076" "k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Lactobacillaceae" "g__Lacticaseibacillus" ""
"OTU_10762" "k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Aerococcaceae" "g__Facklamia" "s__uncultured_bacterium"
